Iteration,Step,Inverter,Other,Total
0,None,79,96,177
1,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,23,96,121
,Subst,23,96,121
,Maj-2,23,96,121
,Dist-2,23,96,121
2,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,24,96,122
,Subst,24,96,122
,Maj-2,24,96,122
,Dist-2,24,96,122
3,InvProp,24,96,122
,TrivRep,24,96,122
,Maj-1,24,96,122
,Dist-1,24,96,122
,Assoc,24,96,122
,CompAss,24,96,122
,Relev,25,96,123
,Subst,25,96,123
,Maj-2,25,96,123
,Dist-2,25,96,123
4,InvProp,25,96,123
,TrivRep,25,96,123
,Maj-1,25,96,123
,Dist-1,25,96,123
,Assoc,25,96,123
,CompAss,25,96,123
,Relev,25,96,123
,Subst,25,96,123
,Maj-2,25,96,123
,Dist-2,25,96,123
5,InvProp,25,96,123
,TrivRep,25,96,123
,Maj-1,25,96,123
,Dist-1,25,96,123
,Assoc,25,96,123
,CompAss,25,96,123
,Relev,25,96,123
,Subst,25,96,123
,Maj-2,25,96,123
,Dist-2,25,96,123
6,InvProp,25,96,123
,TrivRep,25,96,123
,Maj-1,25,96,123
,Dist-1,25,96,123
,Assoc,25,96,123
,CompAss,25,96,123
,Relev,26,96,124
,Subst,26,96,124
,Maj-2,26,96,124
,Dist-2,26,96,124
7,InvProp,26,96,124
,TrivRep,26,96,124
,Maj-1,26,96,124
,Dist-1,26,96,124
,Assoc,26,96,124
,CompAss,26,96,124
,Relev,26,96,124
,Subst,26,96,124
,Maj-2,26,96,124
,Dist-2,26,96,124
8,InvProp,26,96,124
,TrivRep,26,96,124
,Maj-1,26,96,124
,Dist-1,26,96,124
,Assoc,26,96,124
,CompAss,26,96,124
,Relev,27,96,125
,Subst,27,96,125
,Maj-2,27,96,125
,Dist-2,27,96,125
9,InvProp,27,96,125
,TrivRep,27,96,125
,Maj-1,27,96,125
,Dist-1,27,96,125
,Assoc,27,96,125
,CompAss,27,96,125
,Relev,27,96,125
,Subst,27,96,125
,Maj-2,27,96,125
,Dist-2,27,96,125
10,InvProp,27,96,125
,TrivRep,27,96,125
,Maj-1,27,96,125
,Dist-1,27,96,125
,Assoc,27,96,125
,CompAss,27,96,125
,Relev,27,96,125
,Subst,27,96,125
,Maj-2,27,96,125
,Dist-2,27,96,125
