Iteration,Step,Inverter,Other,Total
0,None,79,96,177
1,InvProp,20,96,118
,TrivRep,20,96,118
,Maj-1,20,96,118
,Dist-1,20,96,118
,Assoc,20,96,118
,CompAss,20,96,118
,Relev,21,96,119
,Subst,21,96,119
,Maj-2,21,96,119
,Dist-2,21,96,119
2,InvProp,21,96,119
,TrivRep,21,96,119
,Maj-1,21,96,119
,Dist-1,21,96,119
,Assoc,21,96,119
,CompAss,21,96,119
,Relev,21,96,119
,Subst,21,96,119
,Maj-2,21,96,119
,Dist-2,21,96,119
3,InvProp,21,96,119
,TrivRep,21,96,119
,Maj-1,21,96,119
,Dist-1,21,96,119
,Assoc,21,96,119
,CompAss,21,96,119
,Relev,21,96,119
,Subst,21,96,119
,Maj-2,21,96,119
,Dist-2,21,96,119
4,InvProp,21,96,119
,TrivRep,21,96,119
,Maj-1,21,96,119
,Dist-1,21,96,119
,Assoc,21,96,119
,CompAss,21,96,119
,Relev,22,96,120
,Subst,22,96,120
,Maj-2,22,96,120
,Dist-2,21,96,119
5,InvProp,21,96,119
,TrivRep,21,96,119
,Maj-1,21,96,119
,Dist-1,21,96,119
,Assoc,21,96,119
,CompAss,21,96,119
,Relev,21,96,119
,Subst,23,100,125
,Maj-2,23,100,125
,Dist-2,23,100,125
6,InvProp,23,100,125
,TrivRep,24,100,126
,Maj-1,24,100,126
,Dist-1,24,100,126
,Assoc,24,100,126
,CompAss,24,100,126
,Relev,24,100,126
,Subst,24,100,126
,Maj-2,24,100,126
,Dist-2,23,100,125
7,InvProp,23,100,125
,TrivRep,23,100,125
,Maj-1,23,100,125
,Dist-1,23,100,125
,Assoc,23,100,125
,CompAss,23,100,125
,Relev,23,100,125
,Subst,23,100,125
,Maj-2,23,100,125
,Dist-2,23,100,125
8,InvProp,23,100,125
,TrivRep,23,100,125
,Maj-1,23,100,125
,Dist-1,23,100,125
,Assoc,23,100,125
,CompAss,23,100,125
,Relev,23,100,125
,Subst,23,100,125
,Maj-2,23,100,125
,Dist-2,23,100,125
9,InvProp,23,100,125
,TrivRep,23,100,125
,Maj-1,23,100,125
,Dist-1,23,100,125
,Assoc,23,100,125
,CompAss,23,100,125
,Relev,23,100,125
,Subst,30,106,138
,Maj-2,30,106,138
,Dist-2,30,106,138
10,InvProp,30,106,138
,TrivRep,30,106,138
,Maj-1,30,106,138
,Dist-1,30,106,138
,Assoc,30,106,138
,CompAss,30,106,138
,Relev,30,106,138
,Subst,30,106,138
,Maj-2,30,106,138
,Dist-2,30,106,138
