Iteration,Step,Inverter,Other,Total
0,None,79,96,177
1,InvProp,22,96,120
,TrivRep,22,96,120
,Maj-1,22,96,120
,Dist-1,22,96,120
,Assoc,22,96,120
,CompAss,22,96,120
,Relev,22,96,120
,Subst,22,96,120
,Maj-2,22,96,120
,Dist-2,22,96,120
2,InvProp,22,96,120
,TrivRep,22,96,120
,Maj-1,22,96,120
,Dist-1,22,96,120
,Assoc,22,96,120
,CompAss,22,96,120
,Relev,23,96,121
,Subst,23,96,121
,Maj-2,23,96,121
,Dist-2,23,96,121
3,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,24,96,122
,Subst,24,96,122
,Maj-2,24,96,122
,Dist-2,24,96,122
4,InvProp,24,96,122
,TrivRep,24,96,122
,Maj-1,24,96,122
,Dist-1,24,96,122
,Assoc,24,96,122
,CompAss,24,96,122
,Relev,24,96,122
,Subst,24,96,122
,Maj-2,24,96,122
,Dist-2,24,96,122
5,InvProp,24,96,122
,TrivRep,24,96,122
,Maj-1,24,96,122
,Dist-1,24,96,122
,Assoc,24,96,122
,CompAss,24,96,122
,Relev,24,96,122
,Subst,24,96,122
,Maj-2,24,96,122
,Dist-2,24,96,122
6,InvProp,24,96,122
,TrivRep,24,96,122
,Maj-1,24,96,122
,Dist-1,24,96,122
,Assoc,24,96,122
,CompAss,24,96,122
,Relev,24,96,122
,Subst,24,96,122
,Maj-2,24,96,122
,Dist-2,24,96,122
7,InvProp,24,96,122
,TrivRep,24,96,122
,Maj-1,24,96,122
,Dist-1,24,96,122
,Assoc,24,96,122
,CompAss,24,96,122
,Relev,25,96,123
,Subst,29,100,131
,Maj-2,29,100,131
,Dist-2,29,100,131
8,InvProp,29,100,131
,TrivRep,29,100,131
,Maj-1,29,100,131
,Dist-1,29,100,131
,Assoc,29,100,131
,CompAss,29,100,131
,Relev,29,100,131
,Subst,29,100,131
,Maj-2,29,100,131
,Dist-2,29,100,131
9,InvProp,29,100,131
,TrivRep,29,100,131
,Maj-1,29,100,131
,Dist-1,29,100,131
,Assoc,29,100,131
,CompAss,29,100,131
,Relev,29,100,131
,Subst,29,100,131
,Maj-2,29,100,131
,Dist-2,29,100,131
10,InvProp,29,100,131
,TrivRep,29,100,131
,Maj-1,29,100,131
,Dist-1,29,100,131
,Assoc,29,100,131
,CompAss,29,100,131
,Relev,30,100,132
,Subst,30,100,132
,Maj-2,30,100,132
,Dist-2,30,100,132
