Iteration,Step,Inverter,Other,Total
0,None,79,96,177
1,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,23,96,121
,Subst,23,96,121
,Maj-2,23,96,121
,Dist-2,23,96,121
2,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,23,96,121
,Subst,23,96,121
,Maj-2,23,96,121
,Dist-2,23,96,121
3,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,23,96,121
,Subst,23,96,121
,Maj-2,23,96,121
,Dist-2,23,96,121
4,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,23,96,121
,Subst,23,96,121
,Maj-2,23,96,121
,Dist-2,23,96,121
5,InvProp,23,96,121
,TrivRep,23,96,121
,Maj-1,23,96,121
,Dist-1,23,96,121
,Assoc,23,96,121
,CompAss,23,96,121
,Relev,24,96,122
,Subst,24,100,126
,Maj-2,24,98,124
,Dist-2,24,98,124
6,InvProp,24,98,124
,TrivRep,25,98,125
,Maj-1,25,98,125
,Dist-1,25,98,125
,Assoc,25,98,125
,CompAss,25,98,125
,Relev,26,98,126
,Subst,26,98,126
,Maj-2,26,98,126
,Dist-2,25,98,125
7,InvProp,25,98,125
,TrivRep,25,98,125
,Maj-1,25,98,125
,Dist-1,25,98,125
,Assoc,25,98,125
,CompAss,25,98,125
,Relev,26,98,126
,Subst,26,98,126
,Maj-2,26,98,126
,Dist-2,25,98,125
8,InvProp,25,98,125
,TrivRep,25,98,125
,Maj-1,25,98,125
,Dist-1,25,98,125
,Assoc,25,98,125
,CompAss,25,98,125
,Relev,26,98,126
,Subst,26,98,126
,Maj-2,26,98,126
,Dist-2,25,98,125
9,InvProp,25,98,125
,TrivRep,25,98,125
,Maj-1,25,98,125
,Dist-1,25,98,125
,Assoc,25,98,125
,CompAss,25,98,125
,Relev,25,98,125
,Subst,25,98,125
,Maj-2,25,98,125
,Dist-2,25,98,125
10,InvProp,25,98,125
,TrivRep,25,98,125
,Maj-1,25,98,125
,Dist-1,25,98,125
,Assoc,25,98,125
,CompAss,25,98,125
,Relev,25,98,125
,Subst,25,102,129
,Maj-2,25,100,127
,Dist-2,25,100,127
11,InvProp,24,100,126
,TrivRep,25,100,127
,Maj-1,25,100,127
,Dist-1,25,100,127
,Assoc,25,100,127
,CompAss,25,100,127
,Relev,25,100,127
,Subst,25,100,127
,Maj-2,25,100,127
,Dist-2,24,100,126
12,InvProp,24,100,126
,TrivRep,24,100,126
,Maj-1,24,100,126
,Dist-1,24,100,126
,Assoc,24,100,126
,CompAss,24,100,126
,Relev,24,100,126
,Subst,24,100,126
,Maj-2,24,100,126
,Dist-2,24,100,126
13,InvProp,24,100,126
,TrivRep,24,100,126
,Maj-1,24,100,126
,Dist-1,24,100,126
,Assoc,24,100,126
,CompAss,24,100,126
,Relev,24,100,126
,Subst,24,100,126
,Maj-2,24,100,126
,Dist-2,24,100,126
14,InvProp,24,100,126
,TrivRep,24,100,126
,Maj-1,24,100,126
,Dist-1,24,100,126
,Assoc,24,100,126
,CompAss,24,100,126
,Relev,25,100,127
,Subst,25,100,127
,Maj-2,25,100,127
,Dist-2,25,100,127
15,InvProp,25,100,127
,TrivRep,25,100,127
,Maj-1,25,100,127
,Dist-1,25,100,127
,Assoc,25,100,127
,CompAss,25,100,127
,Relev,25,100,127
,Subst,25,100,127
,Maj-2,25,100,127
,Dist-2,25,100,127
16,InvProp,25,100,127
,TrivRep,25,100,127
,Maj-1,25,100,127
,Dist-1,25,100,127
,Assoc,25,100,127
,CompAss,25,100,127
,Relev,26,100,128
,Subst,26,100,128
,Maj-2,26,100,128
,Dist-2,25,100,127
17,InvProp,25,100,127
,TrivRep,25,100,127
,Maj-1,25,100,127
,Dist-1,25,100,127
,Assoc,25,100,127
,CompAss,25,100,127
,Relev,26,100,128
,Subst,26,100,128
,Maj-2,26,100,128
,Dist-2,25,100,127
18,InvProp,25,100,127
,TrivRep,25,100,127
,Maj-1,25,100,127
,Dist-1,25,100,127
,Assoc,25,100,127
,CompAss,25,100,127
,Relev,25,100,127
,Subst,33,116,151
,Maj-2,33,116,151
,Dist-2,33,116,151
19,InvProp,33,116,151
,TrivRep,33,116,151
,Maj-1,33,116,151
,Dist-1,33,116,151
,Assoc,33,116,151
,CompAss,33,116,151
,Relev,33,116,151
,Subst,33,116,151
,Maj-2,33,116,151
,Dist-2,33,116,151
20,InvProp,33,116,151
,TrivRep,33,116,151
,Maj-1,33,116,151
,Dist-1,33,116,151
,Assoc,33,116,151
,CompAss,33,116,151
,Relev,35,116,153
,Subst,35,116,153
,Maj-2,35,116,153
,Dist-2,34,116,152
